t:0.0171,S:4.36386580895208,Sloc:4.36386580895208,Sloc(species):0.0,Sum:4.36386580895208
t:0.0172,S:4.363624273209972,Sloc:4.363624273209972,Sloc(species):0.0,Sum:4.363624273209972
t:0.0173,S:4.36385376015277,Sloc:4.36385376015277,Sloc(species):0.0,Sum:4.36385376015277
t:0.0174,S:4.36385376015277,Sloc:4.36385376015277,Sloc(species):0.0,Sum:4.36385376015277
t:0.0175,S:4.36385376015277,Sloc:4.36385376015277,Sloc(species):0.0,Sum:4.36385376015277
t:0.0176,S:4.363901906939029,Sloc:4.363901906939029,Sloc(species):0.0,Sum:4.363901906939029
t:0.0177,S:4.363901906939029,Sloc:4.363901906939029,Sloc(species):0.0,Sum:4.363901906939029
t:0.0178,S:4.363901906939029,Sloc:4.363901906939029,Sloc(species):0.0,Sum:4.363901906939029
t:0.0179,S:4.363901906939029,Sloc:4.363901906939029,Sloc(species):0.0,Sum:4.363901906939029
t:0.018,S:4.363901906939029,Sloc:4.363901906939029,Sloc(species):0.0,Sum:4.363901906939029
t:0.0181,S:4.363935689008686,Sloc:4.363935689008686,Sloc(species):0.0,Sum:4.363935689008686
t:0.0182,S:4.363935689008686,Sloc:4.363935689008686,Sloc(species):0.0,Sum:4.363935689008686
t:0.0183,S:4.363935689008686,Sloc:4.363935689008686,Sloc(species):0.0,Sum:4.363935689008686
t:0.0184,S:4.363935689008686,Sloc:4.363935689008686,Sloc(species):0.0,Sum:4.363935689008686
t:0.0185,S:4.363735365330129,Sloc:4.363735365330129,Sloc(species):0.0,Sum:4.363735365330129
t:0.0186,S:4.3638656864271885,Sloc:4.3638656864271885,Sloc(species):0.0,Sum:4.3638656864271885
t:0.0187,S:4.363973167302219,Sloc:4.363973167302219,Sloc(species):0.0,Sum:4.363973167302219
t:0.0188,S:4.363985477301529,Sloc:4.363985477301529,Sloc(species):0.0,Sum:4.363985477301529
t:0.0189,S:4.36400899982078,Sloc:4.36400899982078,Sloc(species):0.0,Sum:4.36400899982078
t:0.019,S:4.36400899982078,Sloc:4.36400899982078,Sloc(species):0.0,Sum:4.36400899982078
t:0.0191,S:4.36400899982078,Sloc:4.36400899982078,Sloc(species):0.0,Sum:4.36400899982078
t:0.0192,S:4.364081786423383,Sloc:4.364081786423383,Sloc(species):0.0,Sum:4.364081786423383
t:0.0193,S:4.363895507757181,Sloc:4.363895507757181,Sloc(species):0.0,Sum:4.363895507757181
t:0.0194,S:4.363895507757181,Sloc:4.363895507757181,Sloc(species):0.0,Sum:4.363895507757181
t:0.0195,S:4.363839142785552,Sloc:4.363839142785552,Sloc(species):0.0,Sum:4.363839142785552
